iter	Passed	Remaining
0	441	87908
1	863	85465
2	1308	85950
3	1823	89358
4	2258	88062
5	2668	86293
6	3074	84765
7	3473	83374
8	3891	82586
9	4344	82550
10	4836	83094
11	5256	82353
12	5717	82245
13	6157	81805
14	6585	81222
15	7015	80677
16	7430	79988
17	7828	79158
18	8232	78427
19	8623	77609
20	9016	76851
21	9413	76164
22	9797	75399
23	10182	74670
24	10594	74164
25	10972	73433
26	11380	72918
27	11763	72260
28	12218	72044
29	12681	71859
30	13151	71698
31	13572	71255
32	13988	70788
33	14382	70220
34	14766	69614
35	15133	68940
36	15511	68335
37	15903	67798
38	16287	67239
39	16683	66733
40	17052	66130
41	17421	65537
42	17800	64991
43	18181	64462
44	18558	63923
45	18945	63427
46	19321	62898
47	19695	62369
48	20141	62070
49	20537	61612
50	20928	61144
51	21292	60600
52	21694	60170
53	22071	59673
54	22489	59290
55	22862	58789
56	23248	58325
57	23616	57820
58	23982	57313
59	24357	56833
60	24739	56373
61	25140	55957
62	25488	55426
63	25878	54991
64	26234	54486
65	26588	53982
66	26950	53498
67	27351	53094
68	27788	52758
69	28164	52304
70	28512	51805
71	28904	51386
72	29280	50939
73	29674	50526
74	30116	50193
75	30508	49777
76	30924	49399
77	31319	48987
78	31680	48522
79	32057	48086
80	32427	47639
81	32819	47227
82	33188	46784
83	33607	46410
84	33979	45972
85	34320	45494
86	34709	45082
87	35043	44600
88	35392	44141
89	35798	43754
90	36259	43431
91	36671	43048
92	37031	42606
93	37402	42177
94	37748	41721
95	38136	41314
96	38482	40862
97	38886	40473
98	39287	40081
99	39678	39678
100	40036	39243
101	40448	38862
102	40802	38425
103	41267	38093
104	41666	37698
105	42070	37307
106	42435	36883
107	42810	36468
108	43145	36020
109	43525	35611
110	43866	35171
111	44194	34724
112	44575	34319
113	44924	33890
114	45262	33454
115	45624	33038
116	45973	32613
117	46332	32197
118	46682	31775
119	47089	31392
120	47417	30958
121	47771	30542
122	48115	30120
123	48457	29699
124	48853	29311
125	49216	28904
126	49533	28471
127	49911	28075
128	50289	27678
129	50648	27272
130	51041	26884
131	51482	26521
132	51865	26127
133	52248	25734
134	52678	25363
135	53035	24957
136	53434	24571
137	53803	24172
138	54246	23806
139	54672	23431
140	55168	23084
141	55685	22744
142	56186	22395
143	56602	22012
144	56994	21618
145	57382	21223
146	57801	20839
147	58196	20447
148	58584	20052
149	58993	19664
150	59363	19263
151	59853	18901
152	60284	18518
153	60768	18151
154	61159	17755
155	61610	17377
156	62091	17005
157	62481	16609
158	62887	16216
159	63335	15833
160	63772	15448
161	64234	15067
162	64631	14671
163	65055	14280
164	65456	13884
165	65917	13501
166	66320	13105
167	66718	12708
168	67133	12314
169	67520	11915
170	67959	11525
171	68331	11123
172	68773	10733
173	69205	10341
174	69665	9952
175	70062	9554
176	70500	9161
177	70874	8759
178	71315	8366
179	71836	7981
180	72232	7582
181	72655	7185
182	73047	6785
183	73448	6386
184	73868	5989
185	74249	5588
186	74699	5193
187	75228	4801
188	75596	4399
189	75959	3997
190	76324	3596
191	76703	3195
192	77106	2796
193	77477	2396
194	77816	1995
195	78196	1595
196	78649	1197
197	79106	799
198	79491	399
199	79919	0
